,#file,MPIprocs,threadsPerMPI,totalThreads,aveTaskExec,aveTaskLocalComm,aveTaskWaitComm
0,RK311,16,0,0,0.103171,0.00399759,0.00251498
1,RK311,32,0,0,0.145778,0.00565032,0.00392344
2,RK311,64,0,0,0.325897,0.00898352,0.00773747
3,RK311,128,0,0,0.315366,0.0087345,0.021816
4,RK311,256,0,0,0.338167,0.00829136,0.022556
5,RK311,512,0,0,0.443186,0.00858907,0.0631136
6,RK311,1024,0,0,0.479635,0.00862425,0.0644548
0,RK300,16,0,0,0.0602258,0.00382156,0.00247619
1,RK300,32,0,0,0.0745579,0.00538302,0.00388399
2,RK300,64,0,0,0.168364,0.00844171,0.00873478
3,RK300,128,0,0,0.153685,0.00828711,0.0192083
4,RK300,256,0,0,0.162967,0.00730409,0.0274568
5,RK300,512,0,0,0.188287,0.00798678,0.0573047
6,RK300,1024,0,0,0.202332,0.00810763,0.0594688
