,#file,MPIprocs,threadsPerMPI,totalThreads,startTime,endTime,aveMean
0,RK311,16,0,0,0.992947,19.2717,0.188441
1,RK311,32,0,0,1.30959,27.8813,0.273935
2,RK311,64,0,0,1.57985,36.8855,0.363976
3,RK311,128,0,0,1.97447,39.1939,0.383705
4,RK311,256,0,0,2.52635,42.0,0.406945
5,RK311,512,0,0,1.99035,53.3615,0.529599
6,RK311,1024,0,0,2.16298,58.2623,0.578344
0,RK300,16,0,0,0.991295,11.597,0.109337
1,RK300,32,0,0,1.12425,15.7818,0.151109
2,RK300,64,0,0,1.60735,21.9264,0.209475
3,RK300,128,0,0,1.48798,22.8871,0.220609
4,RK300,256,0,0,2.39452,25.3582,0.236739
5,RK300,512,0,0,3.61787,31.3892,0.286302
6,RK300,1024,0,0,2.05188,33.872,0.328042
