,#file,MPIprocs,threadsPerMPI,totalThreads,timesteps,startTime,endTime,totalMPIRecv,totalMPISend,totalAllMPIWait,totalMPIReduction,aveMPIRecv,aveMPISend,aveAllMPIWait,aveMPIReduction
0,RK310,16,0,0,97,0.66838,8.77319,0.14728,1.18843,6.2417,0.61056,0.00151835,0.0122519,0.0643474,0.00629443
1,RK310,32,0,0,97,0.963539,12.7988,0.49808,3.1582,25.777,2.1268,0.00513485,0.0325588,0.265742,0.0219258
2,RK310,64,0,0,97,1.57292,27.5032,1.6363,10.0839,100.865,6.9033,0.0168691,0.103958,1.03985,0.071168
3,RK310,128,0,0,97,1.57692,29.5153,3.8991,21.11,394.66,17.238,0.0401969,0.217629,4.06866,0.177711
4,RK310,256,0,0,97,1.65553,30.3842,8.5845,43.921,986.5,40.077,0.0885,0.452794,10.1701,0.413165
5,RK310,512,0,0,97,2.24108,37.585,23.344,87.057,3906.7,399.27,0.24066,0.897495,40.2753,4.11619
6,RK310,1024,0,0,97,2.11612,45.3617,49.892,179.28,8002.8,817.91,0.514351,1.84825,82.5031,8.43206
0,RK311,16,0,0,97,0.841011,18.2856,0.198,1.54466,8.357,1.13521,0.00204124,0.0159243,0.0861546,0.0117032
1,RK311,32,0,0,97,0.786544,16.6723,0.51556,3.4921,22.49,2.0366,0.00531505,0.036001,0.231856,0.0209959
2,RK311,64,0,0,97,1.5701,37.1477,1.7176,11.1459,96.06,6.7535,0.0177072,0.114906,0.990309,0.0696237
3,RK311,128,0,0,97,1.5507,38.9974,4.0474,23.544,371.85,15.966,0.0417258,0.242722,3.83351,0.164598
4,RK311,256,0,0,97,1.74754,43.8525,8.9201,48.847,910.68,36.724,0.0919598,0.503577,9.38845,0.378598
5,RK311,512,0,0,97,2.2294,50.5055,24.71,96.19,4014.8,418.76,0.254742,0.991649,41.3897,4.31711
6,RK311,1024,0,0,97,2.1461,59.2103,51.717,194.97,8146.7,816.43,0.533165,2.01,83.9866,8.4168
