,#file,MPIprocs,threadsPerMPI,totalThreads,startWallTime,endWallTime,totalSolve+SetupTime,totalSolveTime,AveTimePerTimeStep,aveTotalSolve+setup,aveSolveTime
0,RK310,16,0,0,0.66838,8.77319,4.71737,4.44747,0.0835547,0.0486327,0.0458502
1,RK310,32,0,0,0.963539,12.7988,6.46418,6.12953,0.122013,0.066641,0.063191
2,RK310,64,0,0,1.57292,27.5032,14.7441,14.176,0.267322,0.152001,0.146144
3,RK310,128,0,0,1.57692,29.5153,16.1642,15.6587,0.288025,0.166641,0.16143
4,RK310,256,0,0,1.65553,30.3842,15.6527,15.2335,0.296172,0.161368,0.157046
5,RK310,512,0,0,2.24108,37.585,17.9762,17.5973,0.36437,0.185322,0.181415
6,RK310,1024,0,0,2.11612,45.3617,24.7575,24.2757,0.445831,0.255232,0.250265
0,RK311,16,0,0,0.841011,18.2856,12.3628,11.8465,0.179841,0.127452,0.122129
1,RK311,32,0,0,0.786544,16.6723,10.6678,10.1603,0.163771,0.109977,0.104745
2,RK311,64,0,0,1.5701,37.1477,24.574,23.7269,0.366779,0.25334,0.244607
3,RK311,128,0,0,1.5507,38.9974,26.0146,25.415,0.386048,0.268192,0.26201
4,RK311,256,0,0,1.74754,43.8525,29.3709,28.6958,0.434072,0.302793,0.295833
5,RK311,512,0,0,2.2294,50.5055,30.3533,29.7937,0.497692,0.312921,0.307152
6,RK311,1024,0,0,2.1461,59.2103,38.6417,37.9994,0.588291,0.398368,0.391746
