,#file,MPIprocs,threadsPerMPI,totalThreads,startWallTime,endWallTime,totalSolve+SetupTime,totalSolveTime,nSteps,aveIterationsPerSolve,aveSolveIterationsPerTimestep,AveTimePerTimeStep,aveTotalSolve+setup,aveSolveTime
0,RK311,16,0,0,0.618306,11.8217,7.7795,7.36926,97,9.02405,27.0722,0.115499,0.080201,0.0759718
1,RK311,32,0,0,0.801014,16.6221,10.6148,10.1113,97,8.15464,24.4639,0.163104,0.109431,0.10424
2,RK311,64,0,0,1.55647,37.1595,24.6182,23.7465,97,8.78351,26.3505,0.367042,0.253796,0.244809
3,RK311,128,0,0,1.59242,39.4009,26.2813,25.6123,97,8.90034,26.701,0.389778,0.270941,0.264044
4,RK311,256,0,0,1.72088,41.9306,27.49,26.834,97,8.1134,24.3402,0.414533,0.283402,0.276639
5,RK311,512,0,0,2.0227,54.4352,34.3091,33.6166,97,8.63574,25.9072,0.540335,0.353702,0.346563
6,RK311,1024,0,0,2.19036,60.4126,38.5238,37.86,97,8.69072,26.0722,0.600229,0.397153,0.390309
0,RK301,16,0,0,0.749309,10.3477,6.01042,5.7471,97,9.5567,19.1134,0.0989525,0.0619631,0.0592485
1,RK301,32,0,0,0.942369,13.3919,7.25113,6.91428,97,8.68041,17.3608,0.128346,0.0747539,0.0712812
2,RK301,64,0,0,1.54889,29.7636,17.0509,16.4845,97,9.20619,18.4124,0.290873,0.175782,0.169943
3,RK301,128,0,0,1.57744,31.473,18.2564,17.8886,97,9.38144,18.7629,0.308202,0.18821,0.184419
4,RK301,256,0,0,1.63474,34.3198,19.7971,19.3691,97,8.63918,17.2784,0.336959,0.204094,0.199681
5,RK301,512,0,0,1.92683,43.7251,23.9738,23.5393,97,9.03093,18.0619,0.43091,0.247153,0.242673
6,RK301,1024,0,0,2.16305,46.9415,26.3709,25.9223,97,9.03093,18.0619,0.461634,0.271865,0.26724
